Genome	bac_family	bac_order	bac_phylum	hdbscan	kmeans	apcluster
public_SRR14722123_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	2
public_SRR14722125_metawrap_bin.1	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
public_SRR14722125_metawrap_bin.3	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722129_metawrap_bin.3	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14722130_metawrap_bin.2	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	11
public_SRR14722132_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722133_metawrap_bin.1	Xanthobacteraceae	Rhizobiales	Proteobacteria	4	12	11
public_SRR14722135_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_SRR14722136_metawrap_bin.1	Burkholderiaceae	Burkholderiales	Proteobacteria	4	13	10
public_SRR14722138_metawrap_bin.1	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR14722139_metawrap_bin.1	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota	7	9	12
public_SRR14722143_metawrap_bin.1	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR14722143_metawrap_bin.5	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR14722145_metawrap_bin.2	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14722145_metawrap_bin.6	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR14722149_metawrap_bin.1	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14722149_metawrap_bin.10	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR14722149_metawrap_bin.4	UBA11358	Pedosphaerales	Verrucomicrobiota	8	5	7
public_SRR14722149_metawrap_bin.6	Chitinophagaceae	Chitinophagales	Bacteroidota	9	11	4
public_SRR14722150_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14722150_metawrap_bin.3	Caulobacteraceae	Caulobacterales	Proteobacteria	4	13	11
public_SRR14722154_metawrap_bin.3	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722156_metawrap_bin.4	Bryobacteraceae	Bryobacterales	Acidobacteriota	3	4	1
public_SRR14722157_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14722161_metawrap_bin.1	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14722163_metawrap_bin.2	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	2
public_SRR14722165_metawrap_bin.3	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
public_SRR14722167_metawrap_bin.1	Mycobacteriaceae	Mycobacteriales	Actinobacteriota	0	7	6
public_SRR14722170_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_SRR14722170_metawrap_bin.4	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR14722172_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	2
public_SRR14722174_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14722176_metawrap_bin.1	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14722188_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722188_metawrap_bin.4	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722229_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_SRR14722229_metawrap_bin.2	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_SRR14722229_metawrap_bin.6	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722230_metawrap_bin.2	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14722230_metawrap_bin.9	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR14722251_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14722275_metawrap_bin.2	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_SRR14722276_metawrap_bin.2	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1	3	16
public_SRR14722277_metawrap_bin.1	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR14722278_metawrap_bin.2	Unknown	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR14722287_metawrap_bin.1	Pseudonocardiaceae	Mycobacteriales	Actinobacteriota	0	2	6
public_SRR14722288_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722301_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
public_SRR14722305_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR14722307_metawrap_bin.1	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR14722320_metawrap_bin.4	Rhizobiaceae	Rhizobiales	Proteobacteria	4	13	10
public_SRR1531545_metawrap_bin.1	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR1531569_metawrap_bin.1	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria	2	1	9
public_SRR1531569_metawrap_bin.2	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	2	9
public_SRR1531569_metawrap_bin.6	Chroococcidiopsidaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR1531569_metawrap_bin.7	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria	2	2	9
public_SRR2387885_metawrap_bin.1	Bryobacteraceae	Bryobacterales	Acidobacteriota	3	4	1
public_SRR2387885_metawrap_bin.6	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_SRR2387885_metawrap_bin.7	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_SRR7232211_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
